Date,Ticker,Close
11/17/2022,PUWLEMUINDXD,147.22
11/18/2022,PUWLEMUINDXD,143.64
11/19/2022,PUWLEMUINDXD,170.14
11/20/2022,PUWLEMUINDXD,180.72
11/21/2022,PUWLEMUINDXD,161.84
11/22/2022,PUWLEMUINDXD,320.98
11/23/2022,PUWLEMUINDXD,224.08
11/24/2022,PUWLEMUINDXD,197.36
11/25/2022,PUWLEMUINDXD,63.12
11/26/2022,PUWLEMUINDXD,168.28
11/27/2022,PUWLEMUINDXD,148.03
11/28/2022,PUWLEMUINDXD,187.46
11/29/2022,PUWLEMUINDXD,22.87
11/30/2022,PUWLEMUINDXD,52.87
12/01/2022,PUWLEMUINDXD,78.72
12/02/2022,PUWLEMUINDXD,9.8
12/03/2022,PUWLEMUINDXD,31.67
12/04/2022,PUWLEMUINDXD,106.61
12/05/2022,PUWLEMUINDXD,225.32
12/06/2022,PUWLEMUINDXD,56.08
12/07/2022,PUWLEMUINDXD,76.71
12/08/2022,PUWLEMUINDXD,95.78
12/09/2022,PUWLEMUINDXD,120.84
12/10/2022,PUWLEMUINDXD,161.95
12/11/2022,PUWLEMUINDXD,92.9
12/12/2022,PUWLEMUINDXD,104.44
12/13/2022,PUWLEMUINDXD,46.18
12/14/2022,PUWLEMUINDXD,88.71
12/15/2022,PUWLEMUINDXD,80.71
12/16/2022,PUWLEMUINDXD,97.13
12/17/2022,PUWLEMUINDXD,48.07
12/18/2022,PUWLEMUINDXD,114.73
12/19/2022,PUWLEMUINDXD,46.11
12/20/2022,PUWLEMUINDXD,96.36
12/21/2022,PUWLEMUINDXD,35.43
12/22/2022,PUWLEMUINDXD,116.9
12/23/2022,PUWLEMUINDXD,35.07
12/24/2022,PUWLEMUINDXD,58.46
12/25/2022,PUWLEMUINDXD,157.97
12/26/2022,PUWLEMUINDXD,79.46
12/27/2022,PUWLEMUINDXD,99.03
12/28/2022,PUWLEMUINDXD,123.64
12/29/2022,PUWLEMUINDXD,82.15
12/30/2022,PUWLEMUINDXD,131.67
12/31/2022,PUWLEMUINDXD,206.74
01/01/2023,PUWLEMUINDXD,196.53
01/02/2023,PUWLEMUINDXD,93.41
01/03/2023,PUWLEMUINDXD,49.69
01/04/2023,PUWLEMUINDXD,62.04
01/05/2023,PUWLEMUINDXD,292.52
01/06/2023,PUWLEMUINDXD,90.21
01/07/2023,PUWLEMUINDXD,194.97
01/08/2023,PUWLEMUINDXD,248.66
01/09/2023,PUWLEMUINDXD,72.12
01/10/2023,PUWLEMUINDXD,904.65
01/11/2023,PUWLEMUINDXD,154.5
01/12/2023,PUWLEMUINDXD,229.38
01/13/2023,PUWLEMUINDXD,99.05
01/14/2023,PUWLEMUINDXD,31.2
01/15/2023,PUWLEMUINDXD,277.58
01/16/2023,PUWLEMUINDXD,67.86
01/17/2023,PUWLEMUINDXD,114.29
01/18/2023,PUWLEMUINDXD,109.52
01/19/2023,PUWLEMUINDXD,34
01/20/2023,PUWLEMUINDXD,207.69
01/21/2023,PUWLEMUINDXD,141.88
01/22/2023,PUWLEMUINDXD,77.63
01/23/2023,PUWLEMUINDXD,301.34
01/24/2023,PUWLEMUINDXD,249.54
01/25/2023,PUWLEMUINDXD,273.12
01/26/2023,PUWLEMUINDXD,43.55
01/27/2023,PUWLEMUINDXD,117.38
01/28/2023,PUWLEMUINDXD,47.75
01/29/2023,PUWLEMUINDXD,125.45
01/30/2023,PUWLEMUINDXD,196.65
01/31/2023,PUWLEMUINDXD,176.14
02/01/2023,PUWLEMUINDXD,206.28
02/02/2023,PUWLEMUINDXD,249.98
02/03/2023,PUWLEMUINDXD,30.57
02/04/2023,PUWLEMUINDXD,65.95
02/05/2023,PUWLEMUINDXD,47.91
02/06/2023,PUWLEMUINDXD,317.77
02/07/2023,PUWLEMUINDXD,256.58
02/08/2023,PUWLEMUINDXD,108.98
02/09/2023,PUWLEMUINDXD,122.55
02/10/2023,PUWLEMUINDXD,30.45
02/11/2023,PUWLEMUINDXD,188.18
02/12/2023,PUWLEMUINDXD,15.92
02/13/2023,PUWLEMUINDXD,14.21
02/14/2023,PUWLEMUINDXD,139.24
02/15/2023,PUWLEMUINDXD,216.26
02/16/2023,PUWLEMUINDXD,67.3
02/17/2023,PUWLEMUINDXD,47.78
02/18/2023,PUWLEMUINDXD,179.9
02/19/2023,PUWLEMUINDXD,78.54
02/20/2023,PUWLEMUINDXD,31.25
02/21/2023,PUWLEMUINDXD,113.89
02/22/2023,PUWLEMUINDXD,41.15
02/23/2023,PUWLEMUINDXD,163.06
02/24/2023,PUWLEMUINDXD,85.09
02/25/2023,PUWLEMUINDXD,45.89
02/26/2023,PUWLEMUINDXD,14.69
02/27/2023,PUWLEMUINDXD,13.77
02/28/2023,PUWLEMUINDXD,10.58
03/01/2023,PUWLEMUINDXD,96.62
03/02/2023,PUWLEMUINDXD,243.76
03/03/2023,PUWLEMUINDXD,64.1
03/04/2023,PUWLEMUINDXD,43.48
03/05/2023,PUWLEMUINDXD,158.83
03/06/2023,PUWLEMUINDXD,13.77
03/07/2023,PUWLEMUINDXD,246.45
03/08/2023,PUWLEMUINDXD,16.43
03/09/2023,PUWLEMUINDXD,25.43
03/10/2023,PUWLEMUINDXD,337.36
