,date,pcr
502,2008-10-31 00:00:00,0.75
503,2008-11-03 00:00:00,0.75
504,2008-11-04 00:00:00,0.71
505,2008-11-05 00:00:00,0.81
506,2008-11-06 00:00:00,1.02
507,2008-11-07 00:00:00,0.76
508,2008-11-10 00:00:00,0.93
509,2008-11-11 00:00:00,0.96
510,2008-11-12 00:00:00,0.98
511,2008-11-13 00:00:00,0.93
512,2008-11-14 00:00:00,0.83
513,2008-11-17 00:00:00,0.86
514,2008-11-18 00:00:00,0.94
515,2008-11-19 00:00:00,1.16
516,2008-11-20 00:00:00,1.05
517,2008-11-21 00:00:00,1.13
518,2008-11-24 00:00:00,0.57
519,2008-11-25 00:00:00,0.7
520,2008-11-26 00:00:00,0.64
521,2008-11-28 00:00:00,0.72
522,2008-12-01 00:00:00,0.89
523,2008-12-02 00:00:00,0.75
524,2008-12-03 00:00:00,0.74
525,2008-12-04 00:00:00,0.81
526,2008-12-05 00:00:00,0.62
527,2008-12-08 00:00:00,0.73
528,2008-12-09 00:00:00,0.74
529,2008-12-10 00:00:00,0.77
530,2008-12-11 00:00:00,0.84
531,2008-12-12 00:00:00,0.92
532,2008-12-15 00:00:00,0.88
533,2008-12-16 00:00:00,0.72
534,2008-12-17 00:00:00,0.64
535,2008-12-18 00:00:00,0.81
536,2008-12-19 00:00:00,0.69
537,2008-12-22 00:00:00,0.68
538,2008-12-23 00:00:00,0.48
539,2008-12-24 00:00:00,0.65
540,2008-12-26 00:00:00,0.65
541,2008-12-29 00:00:00,0.62
542,2008-12-30 00:00:00,0.62
543,2008-12-31 00:00:00,0.61
544,2009-01-02 00:00:00,0.66
545,2009-01-05 00:00:00,0.67
546,2009-01-06 00:00:00,0.73
547,2009-01-07 00:00:00,1.0
548,2009-01-08 00:00:00,0.89
549,2009-01-09 00:00:00,0.87
550,2009-01-12 00:00:00,0.99
551,2009-01-13 00:00:00,0.92
552,2009-01-14 00:00:00,0.98
553,2009-01-15 00:00:00,1.0
554,2009-01-16 00:00:00,0.82
555,2009-01-20 00:00:00,0.9
556,2009-01-21 00:00:00,0.8
557,2009-01-22 00:00:00,0.76
558,2009-01-23 00:00:00,0.68
559,2009-01-26 00:00:00,0.66
560,2009-01-27 00:00:00,0.68
561,2009-01-28 00:00:00,0.62
562,2009-01-29 00:00:00,0.89
563,2009-01-30 00:00:00,0.87
564,2009-02-02 00:00:00,0.75
